arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Miguel Cataneo Ribeiro da Costa-SP	Volta Redonda	Flamengo-RJ	Sport-PE	RJ	PE	0	14/05	Raulino de Oliveira	16h00	13628	57.7		7863	1	0	Leandro Newley Ferreira Belota-RJ	N	136920	1977.18	2016	1	1	0	0	0	0	1	3	14	0	0	1
Bruno Arleu de Araújo-RJ	N	N	N	Luiz Cláudio Regazone-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	São Paulo	Palmeiras-SP	Atlético Paranaense-PR	SP	PR	0	14/05	Allianz Parque	16h00	33629	100		33629	4	0	Flávio Rodrigues de Souza-SP	N	2078159.34	1523697.18	2016	1	1	0	0	0	0	1	1	20	0	0	1
Jaílson Macedo Freitas-BA	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Elicarlos Franco de Oliveira-BA	Belo Horizonte	Atlético Mineiro-MG	Santos-SP	MG	SP	0	14/05	Independência	18h30	7507	65.1		4889	1	0	Igor Junio Benevenuto-MG	N	87565	-99265.48	2016	1	1	0	0	0	0	1	3	14	0	0	1
Jean Pierre Gonçalves Lima-RS	N	S	N	Fabrício Vilarinho da Silva-GO_e_Rafael da Silva Alves-RS	Curitiba	Coritiba-PR	Cruzeiro-MG	PR	MG	0	14/05	Couto Pereira	21h00	6028	100		6028	1	0	Rodolpho Toski Marques-PR	N	143630	-88624.08	2016	1	1	0	0	0	0	1	3	14	0	0	1
Bráulio da Silva Machado-SC	N	S	N	Neuza Inês Back-SC_e_Helton Nunes-SC	Volta Redonda	Botafogo-RJ	São Paulo-SP	RJ	SP	0	15/05	Raulino de Oliveira	11h00	10255	35.7		3660	0	1	João Ennio Sobral-RJ	N	148790	13147.75	2016	1	0	0	1	1	0	0	14	3	0	0	1
Pablo dos Santos Alves-PB	N	N	N	Fábio Pereira-TO_e_Esdras Mariano de Lima-AL	Recife	Santa Cruz-PE	Vitória-BA	PE	BA	0	15/05	Arruda	11h00	17877	94.8		16949	4	1	Sebastião Rufino Ribeiro Filho-PE	N	250150	194548.26	2016	1	1	0	0	0	0	1	2	19	0	0	1
Wilton Pereira Sampaio-GO	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Guilherme Dias Camilo-MG	São Paulo	Corinthians-SP	Grêmio-RS	SP	RS	0	15/05	Arena Corinthians	16h00	31533	100		31533	0	0	Vinícius Furlan-SP	N	1627511	980187.25	2016	1	0	1	0	0	1	0	8	8	0	0	1
Emerson de Almeida Ferreira-MG	N	N	N	Pablo Almeida Costa-MG_e_Rafael Trombeta-PR	Florianópolis	Figueirense-SC	Ponte Preta-SP	SC	SP	0	15/05	Orlando Scarpelli	16h00	5458	100		5458	0	0	Rodrigo D'Alonso Ferreira-SC	N	62150	12375.06	2016	1	0	1	0	0	1	0	8	8	0	0	1
Thiago Duarte Peixoto-SP	N	N	N	Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP	Belo Horizonte	América Mineiro-MG	Fluminense-RJ	MG	RJ	0	15/05	Independência	16h00	3537	58.8		2078	0	1	Cleisson Veloso Pereira-MG	N	86500	2760.61	2016	1	0	0	1	1	0	0	14	3	0	0	1
Nielson Nogueira Dias-PE	N	S	N	Bruno Boschilla-PR_e_Clóvis Amaral da Silva-PE	Porto Alegre	Internacional-RS	Chapecoense-SC	RS	SC	0	15/05	Beira-Rio	18h30	10314	100		10314	0	0	Luís Teixeira Rocha-RS	N	350215	177783.46	2016	1	0	1	0	0	1	0	8	8	0	0	1
Leandro Pedro Vuaden-RS	S	N	N	Daniel Paulo Ziolli-SP_e_Ricardo Pavanelli Lanutto-SP	Campinas	Ponte Preta-SP	Palmeiras-SP	SP	SP	1	21/05	Moisés Lucarelli	16h00	7632	88		6716	2	1	Antônio Rogério Batista do Prado-SP	N	233200	112806.61	2016	2	1	0	0	0	0	1	3	8	8	1	1
Jaílson Macedo Freitas-BA	N	N	N	Elicarlos Franco de Oliveira-BA_e_Sidmar dos Santos Meurer-MG	Volta Redonda	Fluminense-RJ	Santa Cruz-PE	RJ	PE	0	21/05	Raulino de Oliveira	18h30	13550	17.2		2325	2	2	Vinícius Gonçalves Dias Araujo-SP	N	59980	-53637.91	2016	2	0	1	0	0	1	0	3	1	3	2	1
Wagner Reway-MT	N	N	N	Fábio Rogério Baesteiro-MT_e_Fábio Pereira-TO	Belo Horizonte	Cruzeiro-MG	Figueirense-SC	MG	SC	0	21/05	Mineirão	21h00	12653	100		12647	2	2	Leonardo Garcia Cavaleiro-RJ	N	300811	10939.25	2016	2	0	1	0	0	1	0	15	13	14	8	1
Ricardo Marques Ribeiro-MG	S	N	N	Pablo Almeida Costa-MG_e_Celso Luiz da Silva-MG	Santos	Santos-SP	Coritiba-PR	SP	PR	0	22/05	Vila Belmiro	11h00	8100	92.2		7472	2	1	João Batista de Arruda-RJ	N	212190	60662.79	2016	2	1	0	0	0	0	1	9	9	14	3	1
Flávio Rodrigues de Souza-SP	N	S	N	Alessandro Álvaro Rocha Mattos-BA_e_Carlos Berkenbrock-SC	Curitiba	Atlético Paranaense-PR	Atlético Mineiro-MG	PR	MG	0	22/05	Arena da Baixada	11h00	11804	100		11804	1	1	Ronan Marques da Rosa-SC	N	213880	8461.24	2016	2	0	1	0	0	1	0	19	3	20	3	1
Heber Roberto Lopes-SC	S	S	S	Kléber Lúcio Gil-SC_e_Bruno Boschilla-PR	Salvador	Vitória-BA	Corinthians-SP	BA	SP	0	22/05	Manoel Barradas (Barradão)	16h00	16028	77.5		12417	3	2	José Ricardo Laranjeira-AL	N	314847	172374.78	2016	2	1	0	0	0	0	1	14	15	19	8	1
Péricles Bassols Pegado Cortez-PE	S	S	S	Emerson Augusto de Carvalho-SP_e_Guilherme Dias Camilo-MG	São Paulo	São Paulo-SP	Internacional-RS	SP	RS	0	22/05	Morumbi	16h00	23861	81.8		19509	1	2	Adriano Milczvski-PR	N	615680	360443.43	2016	2	0	0	1	1	0	0	9	3	3	8	1
Luiz Flávio de Oliveira-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP	Porto Alegre	Grêmio-RS	Flamengo-RJ	RS	RJ	0	22/05	Arena do Grêmio	16h00	15976	100		15976	1	0	Bráulio da Silva Machado-SC	N	522592	397765.55	2016	2	1	0	0	0	0	1	3	9	8	3	1
Eduardo Tomaz de Aquino Valadão-GO	N	S	N	Bruno Pires-GO_e_Rafael Trombeta-PR	Chapecó	Chapecoense-SC	América Mineiro-MG	SC	MG	0	22/05	Arena Condá	16h00	2057	100		2057	3	1	Edivaldo Elias da Silva-PR	N	21450	-10850.91	2016	2	1	0	0	0	0	1	2	20	8	14	1
Vinícius Furlan-SP	N	S	N	Márcia B. Lopes Caetano-SP_e_Alex Ang Ribeiro-SP	Recife	Sport-PE	Botafogo-RJ	PE	RJ	0	22/05	Ilha do Retiro	18h30	5740	90.9		5218	1	1	Eduardo de Santana Nunes-SE	N	131910	63263.1	2016	2	0	1	0	0	1	0	15	15	14	14	1
Dewson Fernando Freitas da Silva-PA	S	N	N	Márcio Gleidson Correia Dias-PA_e_Hélcio Araújo Neves-PA	Juiz de Fora	Botafogo-RJ	Atlético Paranaense-PR	RJ	PR	0	25/05	Mário Helênio	19h30	11061	39.6		4384	2	1	Renato Cardoso Conceição-MG	N	115520	-72313.45	2016	3	1	0	0	0	0	1	7	20	15	19	0
Wagner do Nascimento Magalhães-RJ	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ	Florianópolis	Figueirense-SC	Santos-SP	SC	SP	0	25/05	Orlando Scarpelli	19h30	5849	100		5849	2	2	Francisco de Paula dos Santos Silva Neto-RS	N	86670	31198.18	2016	3	0	1	0	0	1	0	16	7	13	9	0
Diego Almeida Real-RS	N	N	N	Rafael da Silva Alves-RS_e_Lúcio Beiersdorf Flor-RS	Volta Redonda	Flamengo-RJ	Chapecoense-SC	RJ	SC	0	25/05	Raulino de Oliveira	21h00	12958	17.4		2252	2	2	Aurélio Santanna Martins-SP	N	34270	-57662.56	2016	3	0	1	0	0	1	0	7	5	9	2	0
Gilberto Rodrigues Castro Júnior-PE	N	N	N	Clóvis Amaral da Silva-PE_e_Cléberson Nascimento-PE	Belo Horizonte	América Mineiro-MG	Vitória-BA	MG	BA	0	25/05	Independência	21h00	2999	43.9		1318	1	1	Devarly do Rosário-ES	N	21825	-59144.31	2016	3	0	1	0	0	1	0	18	13	20	14	0
Sandro Meira Ricci-SC	S	S	N	Nadine Schramm Camara Bastos-SC_e_Helton Nunes-SC	São Paulo	Palmeiras-SP	Fluminense-RJ	SP	RJ	0	25/05	Allianz Parque	21h45	28534	100		28534	2	0	Emerson de Almeida Ferreira-MG	N	1567292.04	1056679.33	2016	3	1	0	0	0	0	1	4	12	8	3	0
Marielson Alves Silva-BA	N	N	N	Cristhian Passos Sorence-GO_e_Leone Carvalho-GO	Curitiba	Coritiba-PR	São Paulo-SP	PR	SP	0	25/05	Couto Pereira	21h45	9979	100		9979	1	1	Rodrigo D'Alonso Ferreira-SC	N	264030	34346.27	2016	3	0	1	0	0	1	0	7	7	9	9	0
Anderson Daronco-RS	S	N	N	Dibert Pedrosa Moisés-RJ_e_Elio Nepomuceno de Andrade Júnior-RS	Recife	Santa Cruz-PE	Cruzeiro-MG	PE	MG	0	25/05	Arruda	21h45	18625	76.8		14311	4	1	Pablo Ramon Gonçalves Pinheiro-RN	N	257225	202340.31	2016	3	1	0	0	0	0	1	1	19	1	15	0
Elmo Alves Resende Cunha-GO	N	N	N	Fábio Rogério Baesteiro-SP_e_Bruno Salgado Rizo-SP	São Paulo	Corinthians-SP	Ponte Preta-SP	SP	SP	1	26/05	Arena Corinthians	11h00	35573	100		35573	3	0	Márcio Henrique de Gois-SP	N	2059840	1289567	2016	3	1	0	0	0	0	1	6	13	15	3	0
Igor Junio Benevenuto-MG	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Marconi Helbert Vieira-MG	Porto Alegre	Internacional-RS	Sport-PE	RS	PE	0	26/05	Beira-Rio	16h00	24840	100		24840	1	0	Rafael Traci-PR	N	891140	675348.65	2016	3	1	0	0	0	0	1	3	17	3	15	0
Raphael Claus-SP	S	S	N	Tatiane Sacilotti dos Santos Camargo-SP_e_Gustavo Rodrigues de Oliveira-SP	Belo Horizonte	Atlético Mineiro-MG	Grêmio-RS	MG	RS	0	26/05	Independência	21h00	16965	94.7		16068	0	3	Pathrice Wallace Correa Maia-RJ	N	350900	-60218.53	2016	3	0	0	1	1	0	0	13	2	3	3	0
Dewson Fernando Freitas da Silva-PA	S	N	N	Celso Luiz da Silva-MG_e_Felipe Alan Costa de Oliveira-MG	Belo Horizonte	Cruzeiro-MG	América Mineiro-MG	MG	MG	1	28/05	Mineirão	16h00	11713	95.8		11226	1	1	Igor Junio Benevenuto-MG	N	283562	27353.65	2016	4	0	1	0	0	1	0	19	18	19	18	1
Péricles Bassols Pegado Cortez-PE	S	N	N	Fábio Pereira-TO_e_Marcelino Castro-PE	Curitiba	Atlético Paranaense-PR	Figueirense-SC	PR	SC	0	28/05	Arena da Baixada	18h30	10479	100		10479	2	1	Leandro Bizzio Marinho-SP	N	172350	-24314.31	2016	4	1	0	0	0	0	1	17	15	20	16	1
Rafael Traci-PR	N	N	N	Pedro Martinelli Christino-PR_e_André Luiz Severo-PR	Chapecó	Chapecoense-SC	Santa Cruz-PE	SC	PE	0	28/05	Arena Condá	21h00	4734	100		4734	1	1	Luís Teixeira Rocha-RS	N	52050	17867.04	2016	4	0	1	0	0	1	0	9	2	5	1	1
Anderson Daronco-RS	S	N	N	Jorge Eduardo Bernardi-RS_e_Helton Nunes-SC	Campinas	Ponte Preta-SP	Flamengo-RJ	SP	RJ	0	29/05	Moisés Lucarelli	11h00	6940	91.6		6355	1	2	Adriano Milczvski-PR	N	196580	89083.23	2016	4	0	0	1	1	0	0	16	5	13	7	1
Wagner Reway-MT	N	S	N	Guilherme Dias Camilo-MG_e_Fábio Rodrigo Rubinho-MT	Recife	Sport-PE	Corinthians-SP	PE	SP	0	29/05	Ilha do Retiro	11h00	13936	99.3		13839	0	2	Sebastião Rufino Ribeiro Filho-PE	N	270960	164550	2016	4	0	0	1	1	0	0	20	4	17	6	1
Rodolpho Toski Marques-PR	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Ivan Carlos Bohn-PR	Salvador	Vitória-BA	Atlético Mineiro-MG	BA	MG	0	29/05	Arena Fonte Nova	16h00	12947	98.8		12791	1	1	Claudionor dos Santos Júnior-SE	N	266766	82414.53	2016	4	0	1	0	0	1	0	12	12	13	13	1
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Luiz Cláudio Regazone-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	Volta Redonda	Fluminense-RJ	Botafogo-RJ	RJ	RJ	1	29/05	Raulino de Oliveira	16h00	11400	25.1		2860	1	0	Alexandre Vargas Tavares de Jesus-RJ	N	73130	-50282.38	2016	4	1	0	0	0	0	1	8	10	12	7	1
Ricardo Marques Ribeiro-MG	S	N	N	Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP	São Paulo	São Paulo-SP	Palmeiras-SP	SP	SP	1	29/05	Morumbi	16h00	23800	88.3		21016	1	0	Márcio Henrique de Gois-SP	N	654075	389253.27	2016	4	1	0	0	0	0	1	5	5	7	4	1
André Luiz de Freitas Castro-GO	N	S	N	Fabrício Vilarinho da Silva-GO_e_Cristhian Passos Sorence-GO	Santos	Santos-SP	Internacional-RS	SP	RS	0	29/05	Vila Belmiro	18h30	5529	80.8		4468	0	1	Philip Georg Bennett-RJ	N	109980	-23222.85	2016	4	0	0	1	1	0	0	10	3	7	3	1
Sandro Meira Ricci-SC	S	S	N	Bruno Pires-GO_e_Nailton Júnior de Sousa Oliveira-CE	Porto Alegre	Grêmio-RS	Coritiba-PR	RS	PR	0	29/05	Arena do Grêmio	18h30	10825	100		10825	2	0	Rodrigo D'Alonso Ferreira-SC	N	303644	206482.74	2016	4	1	0	0	0	0	1	1	14	2	7	1
Wagner do Nascimento Magalhães-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Rogério Pablos Zanardo-SP	Porto Alegre	Internacional-RS	Atlético Paranaense-PR	RS	PR	0	01/06	Beira-Rio	19h30	17874	100		17874	1	0	Rodrigo Carvalhães de Miranda-RJ	N	600080	407338.89	2016	5	1	0	0	0	0	1	3	19	3	17	0
Leandro Pedro Vuaden-RS	S	N	N	Miguel Cataneo Ribeiro da Costa-SP_e_Gustavo Rodrigues de Oliveira-SP	São Paulo	Corinthians-SP	Santos-SP	SP	SP	1	01/06	Arena Corinthians	21h00	30187	100		30187	1	0	José Cláudio Rocha Filho-SP	N	1460047	756247.92	2016	5	1	0	0	0	0	1	1	13	4	10	0
Pablo dos Santos Alves-PB	N	N	N	Luiz Felipe-PB_e_Elio Nepomuceno de Andrade Júnior-RS	Curitiba	Coritiba-PR	Chapecoense-SC	PR	SC	0	01/06	Durival Britto e Silva	21h00	2852	100		2852	3	4	Vinícius Furlan-SP	N	31920	-82435.51	2016	5	0	0	1	1	0	0	17	7	14	9	0
Raphael Claus-SP	S	N	N	Clóvis Amaral da Silva-PE_e_Cléberson Nascimento-PE	Recife	Santa Cruz-PE	Sport-PE	PE	PE	1	01/06	Arruda	21h00	19088	78.5		14987	0	1	Luiz Sobral-PE	N	290070	233932.29	2016	5	0	0	1	1	0	0	5	17	2	20	0
Elmo Alves Resende Cunha-GO	N	N	N	Vanderson Zanotti-ES_e_Luciano Roggenbaum-PR	Brasília	Botafogo-RJ	Cruzeiro-MG	RJ	MG	0	01/06	Mané Garrincha	21h45	17037	41.4		7057	0	1	Wales Martins-DF	N	417030	172668.29	2016	5	0	0	1	1	0	0	13	15	10	19	0
Luiz Flávio de Oliveira-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Anderson José de Moraes Coelho-SP	Belo Horizonte	Atlético Mineiro-MG	Fluminense-RJ	MG	RJ	0	01/06	Independência	21h45	8942	79.6		7116	1	1	Dyorgines Padovani-ES	N	123695	-104872.57	2016	5	0	1	0	0	1	0	12	8	12	8	0
Jean Pierre Gonçalves Lima-RS	N	N	N	Rafael da Silva Alves-RS_e_Lúcio Beiersdorf Flor-RS	Florianópolis	Figueirense-SC	São Paulo-SP	SC	SP	0	01/06	Orlando Scarpelli	21h45	5271	100		5271	1	0	Roger Goulart-RS	N	133205	70705.96	2016	5	1	0	0	0	0	1	10	9	15	5	0
Leonardo Garcia Cavaleiro-RJ	N	N	N	Eduardo de Souza Couto-RJ_e_Diogo Carvalho Silva-RJ	Belo Horizonte	América Mineiro-MG	Ponte Preta-SP	MG	SP	0	02/06	Independência	19h30	2989	49		1466	1	2	Rudimar Goltara-ES	N	16245	-60716.67	2016	5	0	0	1	1	0	0	20	11	18	16	0
Igor Junio Benevenuto-MG	N	N	N	Fabrício Vilarinho da Silva-GO_e_Fabiano da Silva Ramires-ES	Volta Redonda	Flamengo-RJ	Vitória-BA	RJ	BA	0	02/06	Raulino de Oliveira	21h00	10405	44.9		4668	1	0	Wanderson Alves de Souza-MG	N	80375	-24623.81	2016	5	1	0	0	0	0	1	6	15	5	12	0
Marielson Alves Silva-BA	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Ivan Carlos Bohn-PR	São Paulo	Palmeiras-SP	Grêmio-RS	SP	RS	0	02/06	Pacaembu	21h00	18271	100		18271	4	3	Fábio Filipus-PR	N	525845	168344.32	2016	5	1	0	0	0	0	1	3	1	5	1	0
Wagner Reway-MT	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Fábio Rodrigo Rubinho-MT	Curitiba	Atlético Paranaense-PR	Santa Cruz-PE	PR	PE	0	04/06	Arena da Baixada	16h00	11863	100		11863	1	0	Vinícius Furlan-SP	N	169690	-47250.13	2016	6	1	0	0	0	0	1	15	8	19	5	1
Anderson Daronco-RS	S	N	N	Carlos Berkenbrock-SC_e_Rafael da Silva Alves-RS	São Paulo	Corinthians-SP	Coritiba-PR	SP	PR	0	04/06	Arena Corinthians	20h30	26958	100		26958	2	1	Wagner do Nascimento Magalhães-RJ	N	1312962	693787.07	2016	6	1	0	0	0	0	1	1	19	1	17	1
Ricardo Marques Ribeiro-MG	S	N	N	Pablo Almeida Costa-MG_e_Rafael Trombeta-PR	Chapecó	Chapecoense-SC	Fluminense-RJ	SC	RJ	0	04/06	Arena Condá	20h30	5817	100		5817	0	0	Diego Almeida Real-RS	N	68840	27522.19	2016	6	0	1	0	0	1	0	5	9	7	8	1
Sandro Meira Ricci-SC	S	S	N	Fabrício Vilarinho da Silva-GO_e_Fabiano da Silva Ramires-ES	São Paulo	Santos-SP	Botafogo-RJ	SP	RJ	0	05/06	Pacaembu	11h00	17417	83.2		14483	3	0	Igor Junio Benevenuto-MG	N	419950	81395.32	2016	6	1	0	0	0	0	1	9	20	13	13	1
Raphael Claus-SP	S	N	N	Rogério Pablos Zanardo-SP_e_Alex Ang Ribeiro-SP	Belo Horizonte	América Mineiro-MG	Figueirense-SC	MG	SC	0	05/06	Independência	11h00	3659	59.4		2173	1	0	Rodolpho Toski Marques-PR	N	30400	-55639.09	2016	6	1	0	0	0	0	1	16	13	20	10	1
Thiago Duarte Peixoto-SP	N	S	N	Emerson Augusto de Carvalho-SP_e_Anderson José de Moraes Coelho-SP	Salvador	Vitória-BA	Internacional-RS	BA	RS	0	05/06	Manoel Barradas (Barradão)	16h00	9691	92.1		8924	1	0	Gilberto Rodrigues Castro Júnior-PE	N	127250	43187.01	2016	6	1	0	0	0	0	1	11	4	15	3	1
Dewson Fernando Freitas da Silva-PA	S	S	S	Guilherme Dias Camilo-MG_e_Bruno Pires-GO	Brasília	Flamengo-RJ	Palmeiras-SP	RJ	SP	0	05/06	Mané Garrincha	16h00	55848	97.9		54665	1	2	Elmo Alves Resende Cunha-GO	N	2828565	1531710.01	2016	6	0	0	1	1	0	0	5	3	6	3	1
Péricles Bassols Pegado Cortez-PE	S	N	N	Clóvis Amaral da Silva-PE_e_Cléberson Nascimento-PE	Porto Alegre	Grêmio-RS	Ponte Preta-SP	RS	SP	0	05/06	Arena do Grêmio	16h00	15125	100		15125	1	0	Leonardo Garcia Cavaleiro-RJ	N	463131	345277.99	2016	6	1	0	0	0	0	1	1	12	1	11	1
Rodrigo Nunes de Sá-RJ	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Dibert Pedrosa Moisés-RJ	Recife	Sport-PE	Atlético Mineiro-MG	PE	MG	0	05/06	Ilha do Retiro	16h00	13037	99.1		12916	4	4	Cláudio Francisco Lima e Silva-SE	N	205345	120080.55	2016	6	0	1	0	0	1	0	16	13	17	12	1
André Luiz de Freitas Castro-GO	N	S	N	Nadine Schramm Camara Bastos-SC_e_Cristhian Passos Sorence-GO	Belo Horizonte	Cruzeiro-MG	São Paulo-SP	MG	SP	0	05/06	Mineirão	18h30	18904	99.9		18880	0	1	Felipe Varejão-ES	N	466861	51085.23	2016	6	0	0	1	1	0	0	18	5	15	9	1
Luiz Flávio de Oliveira-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Miguel Cataneo Ribeiro da Costa-SP	Porto Alegre	Internacional-RS	América Mineiro-MG	RS	MG	0	11/06	Beira-Rio	16h00	15640	100		15640	3	1	Márcio C. Brum Coruja-RS	N	448317	279253.46	2016	7	1	0	0	0	0	1	2	19	4	16	1
Rodrigo Batista Raposo-DF	N	N	N	Daniel Henrique-DF_e_José Reinaldo-DF	Campinas	Ponte Preta-SP	Chapecoense-SC	SP	SC	0	11/06	Moisés Lucarelli	16h00	6978	50.1		3499	2	1	Leonardo Ferreira Lima-SP	N	50070	-18703.3	2016	7	1	0	0	0	0	1	9	8	12	5	1
André Luiz de Freitas Castro-GO	N	S	S	Fabrício Vilarinho da Silva-GO_e_Eduardo Gonçalves da Cruz-MS	Volta Redonda	Fluminense-RJ	Grêmio-RS	RJ	RS	0	11/06	Raulino de Oliveira	18h30	11200	22		2467	1	1	Carlos Eduardo Nunes Braga-RJ	N	63050	-49454.84	2016	7	0	1	0	0	1	0	10	3	9	1	1
Anderson Daronco-RS	S	N	N	Alexandre Pruinelli Kleiniche-RS_e_Lúcio Beiersdorf Flor-RS	São Paulo	São Paulo-SP	Atlético Paranaense-PR	SP	PR	0	11/06	Morumbi	21h00	17505	70.8		12389	1	2	Adriano de Assis Miranda-SP	N	383237	162890.26	2016	7	0	0	1	1	0	0	6	11	5	15	1
Ricardo Marques Ribeiro-MG	S	N	N	Celso Luiz da Silva-MG_e_Sidmar dos Santos Meurer-MG	Volta Redonda	Botafogo-RJ	Vitória-BA	RJ	BA	0	12/06	Raulino de Oliveira	11h00	3185	37.8		1203	1	1	Daniel de Souza Macedo-RJ	N	28340	-60643.17	2016	7	0	1	0	0	1	0	19	14	20	11	1
Bráulio da Silva Machado-SC	N	N	N	Carlos Berkenbrock-SC_e_Alex dos Santos-SC	Curitiba	Coritiba-PR	Sport-PE	PR	PE	0	12/06	Couto Pereira	11h00	8221	100		8221	3	2	Rafael Traci-PR	N	126090	-72324.98	2016	7	1	0	0	0	0	1	16	18	19	16	1
Raphael Claus-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Rogério Pablos Zanardo-SP	São Paulo	Palmeiras-SP	Corinthians-SP	SP	SP	1	12/06	Allianz Parque	16h00	39935	100		39935	1	0	Thiago Duarte Peixoto-SP	N	2763659.36	2121545.6	2016	7	1	0	0	0	0	1	1	4	3	1	1
Marcelo Aparecido Ribeiro de Souza-SP	N	S	N	Guilherme Dias Camilo-MG_e_Pablo Almeida Costa-MG	Belo Horizonte	Atlético Mineiro-MG	Cruzeiro-MG	MG	MG	1	12/06	Independência	16h00	20081	97		19484	2	3	Cleisson Veloso Pereira-MG	N	616736	-13977.67	2016	7	0	0	1	1	0	0	17	15	13	18	1
Leandro Pedro Vuaden-RS	S	N	N	Rafael da Silva Alves-RS_e_Elio Nepomuceno de Andrade Júnior-RS	Florianópolis	Figueirense-SC	Flamengo-RJ	SC	RJ	0	12/06	Orlando Scarpelli	16h00	10948	100		10948	1	0	Célio Amorim-SC	N	357270	248434.2	2016	7	1	0	0	0	0	1	12	6	13	5	1
Elmo Alves Resende Cunha-GO	N	S	N	Bruno Pires-GO_e_Leone Carvalho-GO	Recife	Santa Cruz-PE	Santos-SP	PE	SP	0	12/06	Arruda	19h00	18235	79.5		14493	0	2	Emerson Sobral-PE	N	182805	137669.54	2016	7	0	0	1	1	0	0	12	5	8	9	1
Wagner Reway-MT	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Fábio Rodrigo Rubinho-MT	São Paulo	São Paulo-SP	Vitória-BA	SP	BA	0	15/06	Morumbi	19h30	14805	62.2		9213	2	0	Vinícius Gonçalves Dias Araujo-SP	N	264262	57230.91	2016	8	1	0	0	0	0	1	6	14	6	14	0
Luiz Flávio de Oliveira-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Alex Ang Ribeiro-SP	Chapecó	Chapecoense-SC	Grêmio-RS	SC	RS	0	15/06	Arena Condá	19h30	13154	100		13154	3	3	Bráulio da Silva Machado-SC	N	446485	361381.74	2016	8	0	1	0	0	1	0	11	3	8	3	0
Elmo Alves Resende Cunha-GO	N	S	S	Fabrício Vilarinho da Silva-GO_e_Bruno Pires-GO	Campinas	Ponte Preta-SP	Atlético Paranaense-PR	SP	PR	0	15/06	Moisés Lucarelli	19h30	4055	72.7		2948	3	2	Vinícius Furlan-SP	N	44930	-24544.67	2016	8	1	0	0	0	0	1	8	13	9	11	0
Rodrigo Batista Raposo-DF	N	N	N	Daniel Henrique-DF_e_José Reinaldo-DF	Volta Redonda	Botafogo-RJ	América Mineiro-MG	RJ	MG	0	15/06	Raulino de Oliveira	21h00	3098	28.5		883	3	1	Grazianni Maciel Rocha-RJ	N	19580	-73757.22	2016	8	1	0	0	0	0	1	14	20	19	19	0
Leandro Pedro Vuaden-RS	S	N	N	Lúcio Beiersdorf Flor-RS_e_Fabiano da Silva Ramires-ES	Santos	Santos-SP	Sport-PE	SP	PE	0	15/06	Vila Belmiro	21h00	5009	98.6		4937	2	0	Flávio Rodrigues de Souza-SP	N	123620	-5361.56	2016	8	1	0	0	0	0	1	4	19	5	18	0
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Anderson José de Moraes Coelho-SP_e_Miguel Cataneo Ribeiro da Costa-SP	Recife	Santa Cruz-PE	Figueirense-SC	PE	SC	0	15/06	Arruda	21h00	12095	72.3		8747	1	0	Gilberto Rodrigues Castro Júnior-PE	N	128510	90529.29	2016	8	1	0	0	0	0	1	9	12	12	12	0
Raphael Claus-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Rogério Pablos Zanardo-SP	Belo Horizonte	Cruzeiro-MG	Flamengo-RJ	MG	RJ	0	15/06	Mineirão	21h45	17595	100		17593	0	1	Igor Junio Benevenuto-MG	N	472502	58844.07	2016	8	0	0	1	1	0	0	17	7	15	6	0
