arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Wilton Pereira Sampaio-GO	S	S	N	Emerson Augusto de Carvalho-SP_e_Cristhian Passos Sorence-GO	Curitiba	Coritiba-PR	Sport-PE	PR	PE	0	02/09	Couto Pereira	22h00	8303	100		8303	0	0	Eduardo Tomaz de Aquino Valadão-GO	N	108460	-110947.8	2015	22	0	1	0	0	1	0	18	7	18	7	0
Diego Almeida Real-RS	N	N	N	Marcelo Bertanha Barison-RS_e_José Javel Silveira-RS	Goiânia	Goiás-GO	Palmeiras-SP	GO	SP	0	02/09	Serra Dourada	22h00	15148	100		15142	1	0	Daniel Nobre Bins-RS	N	406377.5	296704.14	2015	22	1	0	0	0	0	1	12	4	13	3	0
Bruno Arleu de Araújo-RJ	N	N	N	Thiago Henrique Neto Corrêa Farinha-RJ_e_Michael Corrêia-RJ	Santos	Santos-SP	Chapecoense-SC	SP	SC	0	03/09	Vila Belmiro	19h30	8731	92.2		8047	3	1	Leonardo Garcia Cavaleiro-RJ	N	180920	43654.66	2015	22	1	0	0	0	0	1	7	13	7	11	0
Raphael Claus-SP	S	S	N	Marcelo Carvalho Van Gasse-SP_e_Eduardo Gonçalves da Cruz-MS	Florianópolis	Figueirense-SC	Grêmio-RS	SC	RS	0	03/09	Orlando Scarpelli	21h00	10823	100		10823	0	2	Flávio Rodrigues de Souza-SP	N	258850	196603.28	2015	22	0	0	1	1	0	0	16	3	13	3	0
Wilton Pereira Sampaio-GO	S	S	N	Fabrício Vilarinho da Silva-GO_e_Bruno Pires-GO	São Paulo	São Paulo-SP	Internacional-RS	SP	RS	0	05/09	Morumbi	19h30	26117	79.9		20869	2	0	Flávio Rodrigues Guerra-SP	N	569709	346226.49	2015	23	1	0	0	0	0	1	4	11	5	11	1
Elmo Alves Resende Cunha-GO	N	N	N	Evandro Gomes Ferreira-GO_e_Jesmar Benedito Miranda de Paula-GO	Rio de Janeiro	Vasco-RJ	Atlético Mineiro-MG	RJ	MG	0	05/09	Maracanã	19h30	9587	81.1		7771	1	2	Leandro Newley Ferreira Belota-RJ	N	230460	-22	2015	23	0	0	1	1	0	0	20	2	20	2	1
Flávio Rodrigues de Souza-SP	N	N	N	Carlos Augusto Nogueira Júnior-SP_e_Daniel Paulo Ziolli-SP	Curitiba	Atlético Paranaense-PR	Joinville-SC	PR	SC	0	05/09	Arena da Baixada	21h00	13238	100		13238	0	0	Paulo Roberto Alves Jr.-PR	N	260645	36188.22	2015	23	0	1	0	0	1	0	6	18	5	17	1
Jaílson Macedo Freitas-BA	N	N	N	Marcos W. Rocha de Amorim-BA_e_Jucimar dos Santos Dias-BA	Belo Horizonte	Cruzeiro-MG	Figueirense-SC	MG	SC	0	06/09	Mineirão	11h00	39045	100		39042	5	1	Wanderson Alves de Souza-MG	N	1228560	308305.79	2015	23	1	0	0	0	0	1	12	16	14	16	1
Cleisson Veloso Pereira-MG	N	N	N	Moisés Aparecido de Souza-PR_e_Rafael Trombeta-PR	Chapecó	Chapecoense-SC	Ponte Preta-SP	SC	SP	0	06/09	Arena Condá	11h00	5228	100		5228	0	0	Evandro Bender-SC	N	59890	25167.54	2015	23	0	1	0	0	1	0	13	15	13	14	1
Raphael Claus-SP	S	S	N	Marcelo Carvalho Van Gasse-SP_e_Rogério Pablos Zanardo-SP	São Paulo	Palmeiras-SP	Corinthians-SP	SP	SP	1	06/09	Allianz Parque	16h00	35707	100		35707	3	3	Adriano de Assis Miranda-SP	N	2578440	1824479.95	2015	23	0	1	0	0	1	0	5	1	4	1	1
Ricardo Marques Ribeiro-MG	S	S	N	Guilherme Dias Camilo-MG_e_Márcio Eustáquio Santiago-MG	Rio de Janeiro	Fluminense-RJ	Flamengo-RJ	RJ	RJ	1	06/09	Maracanã	16h00	51936	97.2		50468	1	3	Carlos Eduardo Nunes Braga-RJ	N	2511160	971393.86	2015	23	0	0	1	1	0	0	10	7	9	10	1
Sandro Meira Ricci-SC	S	N	N	Danilo Ricardo Simon Manis-SP_e_Eduardo Gonçalves da Cruz-MS	Porto Alegre	Grêmio-RS	Goiás-GO	RS	GO	0	06/09	Arena do Grêmio	16h00	27176	100		27176	2	1	Roger Goulart-RS	N	1027226	843643.19	2015	23	1	0	0	0	0	1	3	13	3	12	1
Nielson Nogueira Dias-PE	N	N	N	Clóvis Amaral da Silva-PE_e_Mardonio da Silva Ribeiro-CE	Florianópolis	Avaí-SC	Coritiba-PR	SC	PR	0	06/09	Ressacada	16h00	4773	100		4773	0	2	Rodrigo D'Alonso Ferreira-SC	N	78720	42135.89	2015	23	0	0	1	1	0	0	19	16	18	18	1
Emerson de Almeida Ferreira-MG	N	N	N	Pablo Almeida Costa-MG_e_Celso Luiz da Silva-MG	Recife	Sport-PE	Santos-SP	PE	SP	0	06/09	Ilha do Retiro	18h30	8271	74.1		6129	1	1	Sebastião Rufino Ribeiro Filho-PE	N	158430	73806.8	2015	23	0	1	0	0	1	0	8	8	7	7	1
Diego Almeida Real-RS	N	N	S	Carlos Berkenbrock-SC_e_Nadine Schramm Camara Bastos-SC	Campinas	Ponte Preta-SP	Vasco-RJ	SP	RJ	0	09/09	Moisés Lucarelli	19h30	7614	49.1		3735	0	1	Marcelo Prieto Alfieri-SP	N	54900	-8761.77	2015	24	0	0	1	1	0	0	15	20	15	20	0
