jg_rod,CHAVE_1,CHAVE_2,arbitro_principal,arbitro_principal_quadro_fifa,aux1_quadro_fifa,aux2_quadro_fifa,auxiliares,cidade,clubem,clubev,estado_m,estado_v,clássico,data,estadio,hora,id_clubem,id_clubev,id_periodo,ingresso,ingresso_vendido,observacoes,pagante,placarm_tn,placarv_tn,quarto_arbitro,quarto_arbitro_quadro_fifa,renda_bruta,renda_liq,renda_liq_sort,valor_renda_liq,ano,rodada,vitoria_m,empate_m,derrota_m,vitoria_v,empate_v,derrota_v,mandante_posicao_final_rodada,Visitante_posicao_final_rodada,CHAVE_1A,CHAVE_2B,mandante_posicao_inicio_rodada,Visitante_posicao_inicio_rodada,man_gf_ini_rod,vis_gf_ini_rod,man_gt_ini_rod,vis_gt_ini_rod,man_saldo_ini_rod,vis_saldo_ini_rod,man_mean_gf_ini_r,vis_mean_gf_ini_r,man_mean_gt_ini_r,vis_mean_gt_ini_r,man_mean_saldo_ini_r,vis_mean_saldo_ini_r,gs_partida,jg_fds,resultado_time_mandante,fator_resultado
6,20143Internacional-RS,20143Sport-PE,Pablo dos Santos Alves-ES,N,N,N,Fabiano da Silva Ramires-ES_e_Vanderson Zanotti-ES,Porto Alegre,Internacional-RS,Sport-PE,RS,PE,0,04/05,Beira-Rio,16h00,13,19,5,17974,100,,17974,2,1,Luís Teixeira Rocha-RS,N,616625,454778.79,454778.79,454778.79,2014,3,1,0,0,0,0,1,2,8,20142Internacional-RS,20142Sport-PE,4,4,3,3,2,2,1,1,1.5,1.5,1,1,0.5,0.5,3,1,Vitoria,1
7,20143Criciúma-SC,20143Figueirense-SC,Bráulio da Silva Machado-SC,N,N,N,Ângelo Rudimar Bechi-SC_e_Rosnei Hoffmann Scherer-SC,Criciúma,Criciúma-SC,Figueirense-SC,SC,SC,1,04/05,Heriberto Hulse,16h00,31,9,5,10216,100,,10216,1,0,Jefferson Schmidt-SC,N,124010,86444.83,86444.83,86444.83,2014,3,1,0,0,0,0,1,15,20,20142Criciúma-SC,20142Figueirense-SC,19,20,1,0,3,5,-2,-5,0.5,0,1.5,2.5,-1,-2.5,1,1,Vitoria,1
8,20143Atlético Mineiro-MG,20143Goiás-GO,Marcelo de Lima Henrique-RJ,S,N,N,Rodrigo F. Henrique Correa-RJ_e_Diogo Carvalho Silva-RJ,Belo Horizonte,Atlético Mineiro-MG,Goiás-GO,MG,GO,0,04/05,Independência,18h30,4,32,5,9450,63.8,,6029,0,1,Flávio Henrique Coutinho Teixeira-MG,N,129530,-13505.23,-13505.23,-13505.23,2014,3,0,0,1,1,0,0,17,2,20142Atlético Mineiro-MG,20142Goiás-GO,14,4,1,1,2,0,-1,1,0.5,0.5,1,0,-0.5,0.5,1,1,derrota,-1
9,20143Chapecoense-SC,20143Corinthians-SP,Wagner Reway-MT,N,N,N,Fábio Rodrigo Rubinho-MT_e_Joadir Leite Pimenta-MT,Chapecó,Chapecoense-SC,Corinthians-SP,SC,SP,0,04/05,Arena Condá,18h30,44,2,5,15009,100,,15009,0,1,Rodrigo D'Alonso Ferreira-SC,N,417960,340480.08,340480.08,340480.08,2014,3,0,0,1,1,0,0,17,1,20142Chapecoense-SC,20142Corinthians-SP,14,3,1,2,2,0,-1,2,0.5,1,1,0,-0.5,1,1,1,derrota,-1
0,20144Palmeiras-SP,20144Goiás-GO,Felipe Gomes da Silva-RJ,N,N,N,Ivan Carlos Bohn-PR_e_Moisés Aparecido de Souza-PR,São Paulo,Palmeiras-SP,Goiás-GO,SP,GO,0,10/05,Pacaembu,18h30,1,32,5,7036,91.7,,6454,2,0,José Cláudio Rocha Filho-SP,N,270527.5,32431.21,32431.21,32431.21,2014,4,1,0,0,0,0,1,12,9,20143Palmeiras-SP,20143Goiás-GO,16,2,4,2,6,0,-2,2,1.3333333333,0.6666666667,2,0,-0.6666666667,0.6666666667,2,1,Vitoria,1
1,20144Internacional-RS,20144Atlético Paranaense-PR,Sandro Meira Ricci-PE,S,S,S,Emerson Augusto de Carvalho-SP_e_Marcelo Carvalho Van Gasse-SP,Porto Alegre,Internacional-RS,Atlético Paranaense-PR,RS,PR,0,10/05,Beira-Rio,18h30,13,25,5,28426,100,,28426,2,1,Diego Almeida Real-RS,N,1032555,808158.02,808158.02,808158.02,2014,4,1,0,0,0,0,1,1,14,20143Internacional-RS,20143Atlético Paranaense-PR,2,8,5,5,3,5,2,0,1.6666666667,1.6666666667,1,1.6666666667,0.6666666667,0,3,1,Vitoria,1
2,20144Botafogo-RJ,20144Criciúma-SC,Cláudio Francisco Lima e Silva-SE,N,N,N,Aílton Farias-SE_e_Daniel Vidal Pimentel-SE,Rio de Janeiro,Botafogo-RJ,Criciúma-SC,RJ,SC,0,10/05,Maracanã,21h00,6,31,5,8113,52.1,,4225,6,0,João Batista de Arruda-RJ,N,121280,-65514.17,-65514.17,-65514.17,2014,4,1,0,0,0,0,1,11,18,20143Botafogo-RJ,20143Criciúma-SC,19,15,2,2,6,3,-4,-1,0.6666666667,0.6666666667,2,1,-1.3333333333,-0.3333333333,6,1,Vitoria,1
3,20144Fluminense-RJ,20144Flamengo-RJ,Wagner do Nascimento Magalhães-RJ,N,N,N,Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ,Rio de Janeiro,Fluminense-RJ,Flamengo-RJ,RJ,RJ,1,11/05,Maracanã,16h00,11,10,5,37541,69.7,,26178,2,0,Philip Georg Bennett-RJ,N,761480,305478.13,305478.13,305478.13,2014,4,1,0,0,0,0,1,1,16,20143Fluminense-RJ,20143Flamengo-RJ,5,8,5,4,2,4,3,0,1.6666666667,1.3333333333,0.6666666667,1.3333333333,1,0,2,1,Vitoria,1
4,20144São Paulo-SP,20144Corinthians-SP,Raphael Claus-SP,N,N,N,Rogério Pablos Zanardo-SP_e_Danilo Ricardo Simon Manis-SP,Barueri,São Paulo-SP,Corinthians-SP,SP,SP,1,11/05,Arena Barueri,16h00,18,2,5,18277,76.6,,14000,1,1,Antônio Rogério Batista do Prado-SP,N,244775,38262.51,38262.51,38262.51,2014,4,0,1,0,0,1,0,5,3,20143São Paulo-SP,20143Corinthians-SP,6,1,6,3,3,0,3,3,2,1,1,0,1,1,2,1,empate,0
5,20144Atlético Mineiro-MG,20144Cruzeiro-MG,Heber Roberto Lopes-SC,S,S,N,Alessandro Álvaro Rocha Mattos-BA_e_Fernanda Colombo Uliana-SC,Belo Horizonte,Atlético Mineiro-MG,Cruzeiro-MG,MG,MG,1,11/05,Independência,16h00,4,8,5,11675,77.5,,9048,2,1,Igor Junio Benevenuto-MG,N,228485,55211.57,55211.57,55211.57,2014,4,1,0,0,0,0,1,14,5,20143Atlético Mineiro-MG,20143Cruzeiro-MG,17,2,1,6,3,4,-2,2,0.3333333333,2,1,1.3333333333,-0.6666666667,0.6666666667,3,1,Vitoria,1
