unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
Dom Feliciano,142473,9907.7,139914,9687.3,156995,10825.02,182206,12116.4
Dom Pedrito,620615,15947.54,639506,16489.77,773029,19990.42,977858,24472.77
Dom Pedro de Alcântara,80661,31631.89,27147,10670.99,28390,11185.87,41103,15670.21
Dona Francisca,36909,10852.5,44203,13143.98,50311,15126.7,60182,17591.98
Doutor Maurício Cardoso,87323,16435.77,108070,20639.87,114429,22176.13,145450,27438.3
Doutor Ricardo,30744,15145.02,34668,17136.95,36634,18171.78,46410,22290.88
Eldorado do Sul,684001,19921.4,743542,21312.86,790353,22318.78,959833,26003.99
Encantado,438911,21395.7,467459,22623.02,541290,26011.05,610856,28268.58
Encruzilhada do Sul,223674,9115.78,255329,10377.53,264988,10740.87,326457,12770.67
Engenho Velho,28535,18650.19,28189,19034.04,25915,18046.38,40208,27502.11
Entre Rios do Sul,280255,90991.91,295482,96911.15,245243,81259.94,221981,71422.46
Entre-Ijuís,140019,15665.58,173988,19593.19,121847,13810.13,261820,28768.22
Erebango,46312,15593.3,62834,21184.89,55383,18697.75,75450,24632.56
Erechim,2397600,24947.71,2835873,29309.23,3205112,32905.35,4056185,40111.8
Ernestina,68168,22075.25,79282,25665.86,74581,24136.13,106759,33382.99
Erval Grande,52279,10117.77,65332,12745.3,56386,11077.83,66254,12624.56
Erval Seco,102973,13070.99,127636,16407.78,125400,16323.86,193178,24455.95
Esmeralda,92549,29204.51,96601,30454.18,94388,29719.08,131140,39896.5
Esperança do Sul,35620,10886.39,42592,13166.01,43283,13525.86,57254,17397.23
Espumoso,291920,19154.87,363551,23853.46,394591,25890.08,566575,35927.37
Estação,106995,17799.85,133380,22248.62,151708,25373.45,187986,30428.31
Estância Velha,893204,20972.64,950518,22030.27,1004088,22977.88,1149281,25258.92
Esteio,2103394,26074.38,2291804,28360.4,2461948,30446.29,2780621,33221.28
Estrela,882540,28814.8,956727,30995.12,1150719,36994.68,1196785,37041.85
Estrela Velha,64167,17686.61,76919,21224.98,77677,21463.63,117150,31315.17
Eugênio de Castro,91481,32706.81,114270,41417.24,101240,37206.85,162234,58044.25
Fagundes Varela,40725,15790.84,44813,17315.59,45441,17504.1,60639,22550.9
Farroupilha,1856061,29164.55,2017870,31394.32,2128435,32799.15,2417832,35838.31
Faxinal do Soturno,98432,14752.95,146977,22068.68,111585,16787.22,145291,21145.55
Faxinalzinho,28591,11137.77,36199,14251.42,33109,13169.86,51250,19810.51
Fazenda Vilanova,117061,31663.79,102440,27215.85,98490,25728.86,102654,25708.52
Feliz,231371,18720.87,261383,21011.46,290722,23226.2,313072,24097.33
Flores da Cunha,746449,27508.73,880784,32155.97,984448,35607.77,1104546,38433.7
Floriano Peixoto,31099,15410.76,37492,18821.1,36404,18507.27,42504,21030.96
