unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
           Brasil,3885847000,19877.68,4373658000,22157,4805913000,24120.62,5316453957,26444.63
       Norte,207111154,13041.58,241090374,14979.04,258770937,15857.85,292341723,17213.3
   Rondônia,23909993,15322,27581301,17495.77,30088975,18923.75,31091764,17990.69
Alta Floresta D'Oeste,261950,10725.97,279753,11546.7,327279,13597.55,340407,13231.01
Alto Alegre dos Parecis,119903,9348.46,135583,10571.8,170417,13279.6,182830,13222.71
Alto Paraíso,152091,8871.4,176397,10112.17,206316,11628.7,213812,10987.82
Alvorada D'Oeste,160503,9517.48,174643,10504.81,185311,11296.69,191275,10993.43
Ariquemes,1361647,15070.14,1645742,17972.51,1701129,18341.6,1778919,17566.27
Buritis,335693,10365.69,462805,14067.44,404232,12103.85,426171,11658.34
Cabixi,69197,10968,80190,12890.23,99926,16295.81,96308,14828.03
Cacaulândia,76800,13410.23,84287,14623.08,91169,15743.26,98910,15780.23
Cacoal,1184417,15068.72,1253053,15869.67,1377607,17365.53,1415053,16480.36
Campo Novo de Rondônia,117849,9302.16,150963,11832.81,153432,11943.05,179620,12886.18
Candeias do Jamari,280776,14193.49,285928,14090.66,277025,13326.82,327835,14270.46
Castanheiras,39920,11147.66,44588,12641.77,46913,13484.69,53276,14441.8
Cerejeiras,221801,13024.11,256080,15117.78,349230,20723.35,341314,18918.8
Chupinguaia,165552,19936.42,181563,21322.7,240610,27589.73,225640,23416.35
Colorado do Oeste,192355,10340.54,206230,11246.04,223324,12343.12,242168,12619.5
Corumbiara,114790,13041.36,145412,16800.89,176228,20659.82,168680,18667.54
Costa Marques,107872,7873.85,120227,8573.58,134884,9396.3,149648,9439.74
Cujubim,210029,13231.83,218826,13206.18,222376,12882.4,249192,12838.31
Espigão D'Oeste,311430,10835.74,345001,11911.78,377814,12943.73,421711,13303.62
Governador Jorge Teixeira,110955,10554.12,117788,11466.91,119153,11867.82,140576,13344.93
Guajará-Mirim,597836,14355.17,692683,16518.4,506079,11991.83,767600,16774.11
Itapuã do Oeste,90198,10535.93,117970,13559.72,130338,14760.83,293061,30334.43
Jaru,796280,15300.42,861619,16606.97,1010661,19524.02,1063162,19122.65
Ji-Paraná,1853196,15895.39,2039229,17375.4,2324351,19682.54,2322850,18143.58
Machadinho D'Oeste,271683,8733.83,301499,9487.07,354832,10950.58,397088,11143.82
Ministro Andreazza,99774,9636.31,115459,11234.74,125253,12276.11,144543,13262.01
Mirante da Serra,114998,9688.9,119817,10170.33,130347,11154.11,134213,10763.76
Monte Negro,148374,10530.47,176616,12434.25,179495,12540.67,205034,13193.12
Nova Brasilândia D'Oeste,173490,8742.24,188238,9467.28,215271,10822.55,229122,10693.14
Nova Mamoré,218127,9672.18,248921,10755.79,278832,11755.66,307892,11739.5
Nova União,70690,9427.82,76040,10224.51,84496,11446.16,86797,11010.63
Novo Horizonte do Oeste,95622,9340.79,100798,9995.85,104558,10526.36,113211,10766.65
Ouro Preto do Oeste,477537,12586.3,506958,13446.46,529149,14117.41,553230,13796.6
Parecis,49965,10387.83,56019,11427.69,61674,12359.43,71151,12990.92
Pimenta Bueno,540134,16002.07,597120,17572.18,689305,20193.49,767795,20785.48
Pimenteiras do Oeste,43796,18861.54,53253,23163.59,80852,35414.75,77851,31906.26
Porto Velho,9056271,21231.04,11101539,25477.91,11883164,26842.42,11464619,23638.78
Presidente Médici,235403,10547.2,249361,11329.96,279409,12870.64,292767,12719.62
Primavera de Rondônia,35074,9955.73,38307,11058.53,42664,12525.99,47820,13294.33
Rio Crespo,43043,12980.26,50793,15180.36,56410,16719.02,63428,17301.58
Rolim de Moura,627591,12385.36,754011,14813.86,851170,16643.27,920736,16632.7
Santa Luzia D'Oeste,98649,11101.67,109404,12607.07,116999,13803.53,126269,14208.24
São Felipe D'Oeste,58689,9752.23,63909,10760.84,67430,11502.93,70915,11402.95
São Francisco do Guaporé,173546,10833.75,201268,12316.77,222336,13364.74,245293,13429.68
São Miguel do Guaporé,324517,14869.71,311202,14223.78,334139,15238.7,395297,16701.73
Seringueiras,117343,10073.24,133800,11510.65,142114,12231.18,157229,12573.3
Teixeirópolis,49958,10210.08,56626,11718.95,60691,12702.23,67740,13334.62
Theobroma,105459,9907.83,104324,9830.72,126318,11944.98,128207,11302.75
Urupá,121410,9361.59,130108,10142.52,127696,10065.1,150674,11168.46
Vale do Anari,91433,9767.39,89778,9439.37,190775,19804.37,99745,9483.23
Vale do Paraíso,89208,10855.25,92335,11421.97,95722,12023.88,108168,12838.96
Vilhena,1445169,18968.71,1477238,18954.26,1802069,22634.51,1974911,22512.01
   Acre,8343035,11385.25,8955210,11998.09,10127473,13346.94,11440020,14733.5
Acrelândia,122175,9744.37,143072,11195.83,161923,12445.06,214555,16067.93
Assis Brasil,42072,6925.51,46789,7556.38,52769,8365.38,64537,9959.36
Brasiléia,190990,8908.93,204065,9344.91,239038,10737.99,295430,12901.43
Bujari,86195,10171.69,102603,11890.52,107846,12280.31,120210,13352.19
Capixaba,108495,12314.93,116132,12778.61,129610,13835.39,158748,16139.48
Cruzeiro do Sul,773440,9859.77,765424,9667.61,841900,10547.61,974478,12123.84
Epitaciolândia,145336,9608.36,159608,10368.17,185639,11839.98,267957,16644.35
Feijó,200648,6209.88,205309,6319.72,224579,6897.4,267469,8252.41
Jordão,41232,6313.27,45678,6777.21,52162,7561.91,58305,8158
Mâncio Lima,95502,6264.09,104963,6748.28,121826,7666.81,150009,9141.31
Manoel Urbano,55852,6991.12,59593,7352.62,66222,8052.3,80081,9549.34
Marechal Thaumaturgo,95948,6756.91,94920,6464.61,119713,7915.95,146205,9220.21
Plácido de Castro,132841,7721.97,153003,8792.79,178724,10162.26,199357,11202.95
Porto Acre,114705,7747.18,124855,8207.15,143478,9236.38,172551,10764.93
Porto Walter,60289,6573.18,60547,6408.45,67819,6983.72,82025,8086.83
Rio Branco,5121687,15252.38,5511647,16101.85,6255743,17958.01,6767743,18946.97
Rodrigues Alves,124097,8657.55,113994,7685.65,109611,7182.91,151875,9511.2
Santa Rosa do Purus,35862,7775.74,35173,7209.05,37671,7443.44,45116,8395.15
Sena Madureira,264845,6970.89,282764,7304.85,333567,8473.47,426695,10585.07
Senador Guiomard,185012,9180.38,229171,11241.01,257817,12522.7,292874,14081.15
Tarauacá,228316,6426.73,265003,7323.36,292502,7956.44,335401,8927.12
Xapuri,117496,7336.18,130898,7996.24,147314,8853.55,168402,9893.79
   Amazonas,60882388,17490.23,70735435,19990.87,72214371,20109.91,83293127,21873.65
Alvarães,58349,4144.14,81162,5700.79,77957,5420.84,90962,5997.74
Amaturá,36847,3815.53,47784,4960.48,50849,5191.83,59818,5731.9
Anamã,51725,5074.55,71698,6831.68,67582,6277.34,84348,7248.92
Anori,64186,3940.46,179841,10768.25,137207,8036.95,154119,8398.38
Apuí,105312,5831.57,130744,7134.34,137719,7391.16,164144,8265.08
Atalaia do Norte,68620,4529.66,78403,5043.61,83996,5274.78,100414,5846.89
Autazes,154728,4854.07,173616,5304,177634,5332.43,199332,5606.45
Barcelos,93681,3643.06,113774,4403.89,121244,4672.59,134484,4960.69
Barreirinha,117674,4300.78,136381,4919.61,157826,5621.19,196254,6599.64
Benjamin Constant,136901,4099.93,171773,5023.49,182878,5232.57,238056,6337.34
Beruri,73703,4755.04,88208,5572.9,88194,5458.26,108037,6233.39
Boa Vista do Ramos,54985,3685.07,69797,4554.45,82088,5242.25,100095,5950.97
Boca do Acre,149662,5008.78,188762,6107.62,208186,6678.82,237462,7241.46
Borba,155935,4526.16,212238,5987.3,211761,5895.51,236938,6223.27
Caapiranga,66697,6113.94,91570,8218.44,94548,8364.88,111228,9265.87
Canutama,49241,3869.02,63723,4603.25,70109,5012.83,81548,5527.16
Carauari,129164,5025.85,170426,6566.21,161338,6174.44,215149,7850.72
Careiro,144489,4427.96,165289,4988.81,173187,5167.13,196594,5548.64
Careiro da Várzea,187668,7831.59,239766,9809.6,202581,8123.69,234453,8773.79
Coari,1998208,26323.73,3279152,42783.09,4199492,54323.68,4552464,55978.65
Codajás,120231,5200.55,483749,20459.69,445526,18511.89,493607,19209.47
Eirunepé,151074,4926.43,196571,6336.92,282308,9001.01,338773,10226.49
Envira,71405,4373.16,87129,5237.71,113404,6701.15,117568,6513.12
Fonte Boa,95454,4212.64,115539,5021.04,121831,5251.77,132726,6071.92
Guajará,51508,3659.77,62861,4430.28,77208,5363.16,93230,6097.05
Humaitá,216288,4902.7,287097,6365.07,306101,6661.04,367941,7488.06
Ipixuna,69469,3129.35,76627,3350.97,84413,3598.16,106837,4212.48
Iranduba,304351,7471.49,386595,9343.92,387372,9234.79,497398,11176.73
Itacoatiara,825638,9507.57,1120950,12742.41,1308857,14695.69,1445182,15328.94
Itamarati,42868,5331.79,53448,6672.61,57504,7203.32,73615,8942.52
Itapiranga,81802,9975.8,195275,23581.08,158884,19032.62,68935,7856.77
Japurá,32627,4476.24,44782,6061.44,45851,6156.19,51117,8403.24
Juruá,48557,4486.92,60870,5470.95,78363,6850.53,84638,6821.23
Jutaí,89641,4990.03,112388,6193.9,137400,7511.05,180532,10389.73
Lábrea,204583,5444.8,245985,6410.36,317508,8136.65,382002,9182.74
Manacapuru,644416,7568.55,886266,10296.08,848970,9759.96,1229982,13399.22
Manaquiri,124461,5457.13,175961,7463.57,157216,6463.15,182581,6882.06
Manaus,50221918,27861.98,55453133,30262.17,55489798,29803.77,64025434,32300.56
Manicoré,250152,5321.13,329236,6901.2,373554,7722.37,403038,7851.75
Maraã,64990,3742.82,82008,4669.34,85690,4869.88,96985,5296.83
Maués,271373,5234.12,301213,5664.77,296654,5485.57,361699,6272.63
Nhamundá,69375,3795.56,85959,4645.67,106239,5675.19,129066,6521.14
Nova Olinda do Norte,128448,4175.69,168997,5411.01,151568,4773.96,157989,4670.23
Novo Airão,73653,4983.27,72794,4816.68,76989,4970.56,92669,5542.73
Novo Aripuanã,78255,3658.64,116235,5335.82,109912,4972.06,140636,5988.06
Parintins,576686,5650.13,768087,7461.07,810538,7806.54,1010854,9254.78
Pauini,76409,4209.14,98420,5393.15,97234,5304.92,112806,5890.97
Presidente Figueiredo,314139,11582.88,558364,19994.43,582453,20328.51,717416,23158.89
Rio Preto da Eva,193064,7495.29,267952,10171.28,317480,11781.22,326547,11260.63
Santa Isabel do Rio Negro,65255,3598.67,87260,4659.07,86042,4459.97,104955,5001.2
Santo Antônio do Içá,83725,3419.16,98478,3988.75,108090,4342.7,126936,5217.92
São Gabriel da Cachoeira,161953,4341.91,180854,4696.64,186817,4778.29,216672,5211.59
São Paulo de Olivença,108830,3463.07,129870,4050.84,142791,4369.76,173494,4962.23
São Sebastião do Uatumã,42407,3967.72,55198,5028.05,60315,5365.64,73865,6097.01
Silves,48179,5705.07,61899,7286.49,62211,7281.27,83939,9382.85
Tabatinga,235881,4511.97,294159,5511.27,274694,5045.81,328186,5627.91
Tapauá,84472,4427.95,142138,7892.2,128465,7175.61,153076,8327.06
Tefé,349024,5684.52,538530,8796.2,556589,9124.41,540988,8602.82
Tonantins,58625,3437.18,76593,4453.09,81778,4722.69,99831,5496.7
Uarini,78341,6579.94,74752,6220.55,87242,7186.91,106174,8294.22
Urucará,101825,5983.03,262051,15418.37,227367,13452.06,257019,14799.29
Urucurituba,73262,4131.86,85054,4656.67,98768,5287.63,110289,5489.48
   Roraima,6639540,14714.41,7307673,15880.55,7713108,16427.5,9027284,18495.8
Alto Alegre,135075,8293.95,148235,9073.56,153454,9456.14,183242,11154.26
Amajari,76963,8248.96,93587,9711.24,104117,10478.74,121596,11656.06
Boa Vista,5121625,18017.52,5542854,19064.58,5836306,19653.58,6693993,21663.69
Bonfim,108678,9924.01,124346,11234.71,139955,12509.42,194216,16851.71
Cantá,124817,9059.12,148495,10375.53,153575,10442.28,185461,12048.4
Caracaraí,174554,9494.9,206099,11013.07,222321,11689.43,262852,13345.43
Caroebe,74020,9122.46,83819,10098.67,93596,11037.25,125747,14247.33
Iracema,76392,8804.97,82458,9165.07,87579,9429.25,115235,11804.41
Mucajaí,147451,9953.49,187607,12453.14,176935,11543.26,212583,13378.41
Normandia,74501,8346.49,82363,8995.57,86712,9260.13,101997,10456.9
Pacaraima,102918,9850.47,109617,10246.47,115528,10547.57,133347,11673.52
Rorainópolis,241610,9442.69,282664,11394.06,308749,12194.34,409730,15563.69
São João da Baliza,66152,9759.86,81938,11878.47,89733,12777,111725,15338.45
São Luiz,59776,8855.68,67695,9866.64,74660,10714.73,94232,13069.61
Uiramutã,55008,6751.99,65898,7686.69,69888,7974.43,81329,8910.82
   Pará,82691185,10875.78,98739615,12842.35,106819045,13707.82,120948905,15176.18
Abaetetuba,580317,4114.15,706997,4951.48,846340,5860.47,954830,6483.67
Abel Figueiredo,53006,7804.13,63465,9273.02,49491,7167.46,57038,8133.17
Acará,436173,8136.79,503224,9374.51,518813,9645.7,868466,16073.77
Afuá,161180,4602.9,191051,5386.71,225096,6273.75,261300,7139.74
Água Azul do Norte,179882,7177.78,208463,8244.2,258596,10138.62,296325,11441.57
Alenquer,357110,6774.48,359608,6784.54,372557,6980.77,557461,10316.66
Almeirim,576045,17111.09,527101,15693.15,455855,13582.06,439894,13106.9
Altamira,835680,7956.59,1283723,12743.44,2182778,21328.06,3067323,29183.14
Anajás,95369,3850.03,113431,4491.6,129014,5013.94,152378,5739.94
Ananindeua,4054172,8594.01,4595795,9614.65,5436218,11236.01,5478768,11091.16
Anapu,111019,5417.43,136680,6387.53,171205,7703.26,204848,8676.67
Augusto Corrêa,132582,3273.71,169202,4119.65,202939,4875.06,252665,5932.35
Aurora do Pará,210750,7929.18,185966,6869.81,184839,6702.91,231950,8155.47
Aveiro,55895,3545.08,66565,4193.05,70040,4405.34,87736,5497.61
Bagre,65932,2763.89,72438,2939.37,84900,3342.77,114013,4275.6
Baião,168587,4567.88,195363,5128.71,210004,5348.65,262235,6359.99
Bannach,34087,9926.38,41938,12316.63,47498,14056.68,51273,15351.06
Barcarena,2674511,26798.71,2883158,28082.34,2268106,21522.1,2932266,26663.02
Belém,18579371,13346.95,21269221,15170.02,24614484,17451.76,25772207,18074.07
Belterra,108396,6640.27,160426,9751.77,157593,9505.59,267321,15904.36
Benevides,574969,11129.22,662969,12535.35,848270,15684.59,945650,16852.9
Bom Jesus do Tocantins,86095,5647.02,93663,6055.64,94225,6028.85,107775,6771.48
Bonito,56054,4112.55,54530,3916.57,58203,4096.76,78992,5377.66
Bragança,504587,4458.86,609903,5316.45,761034,6551.38,981571,8270.88
Brasil Novo,103896,5784.87,129266,8299.59,136467,8824.85,156013,10196.92
Brejo Grande do Araguaia,34971,4774.87,39762,5442.36,44173,6055.3,50665,6954.64
Breu Branco,566903,10798.76,644783,11933.36,570628,10277.7,564727,9731.14
Breves,362657,3905.2,426209,4542.12,503393,5311.22,557496,5780.52
Bujaru,227364,8846.86,237672,9122.62,290070,10987.52,446271,16528.57
Cachoeira do Arari,78306,3827.26,100624,4837.45,117924,5576.38,142831,6569.96
Cachoeira do Piriá,76471,2888.31,93772,3430.86,105408,3744.13,138660,4695.08
Cametá,472630,3909.14,554921,4523.21,648184,5210.02,736333,5779.65
Canaã dos Carajás,2118870,79278.25,2949211,105596.72,2963151,101822.99,3694956,118954.21
Capanema,592735,9315.63,663142,10338.97,774907,11991.01,846209,12919.61
Capitão Poço,230535,4442,253878,4876.92,300048,5746.51,367982,7004.24
Castanhal,1719548,9934.07,1904570,10814.29,2456416,13724.07,2747753,14940.18
Chaves,82902,3921.96,98605,4632.37,116155,5388.26,138368,6281.15
Colares,41724,3665.82,44949,3929.45,51811,4507.27,60668,5229.96
Conceição do Araguaia,295296,6485.75,358229,7834.6,412296,8985.42,446661,9666.74
Concórdia do Pará,135646,4806.57,159628,5547.64,201521,6874.8,235526,7790.36
Cumaru do Norte,107683,10277.07,135622,12544.86,157471,14130.59,185266,15829.28
Curionópolis,115389,6307.14,147216,8090.13,199296,11005.97,224381,12477.37
Curralinho,66220,2316.84,76005,2602.56,90950,3048.14,110843,3585.4
Curuá,92666,7557.17,62745,5024.79,74721,5877.99,78612,6002.31
Curuçá,131736,3819.55,157130,4499.85,177480,4996.2,218891,5987.67
Dom Eliseu,309132,6023.86,400154,7662.26,411869,7756.48,455992,8351.2
Eldorado dos Carajás,198837,6263.58,213072,6668.07,220416,6863.32,223772,6902.27
Faro,71138,8695.54,30458,3790.61,36536,4626.56,54449,7089.76
Floresta do Araguaia,268133,15042.51,368206,20415.08,374104,20448.45,396307,21146.51
Garrafão do Norte,120102,4794.3,117062,4664.38,146581,5826.65,171236,6771.7
Goianésia do Pará,169172,5558.11,187524,6043.11,227254,6437.96,268620,7359.45
Gurupá,103664,3567.24,121129,4103.28,137210,4579.31,163575,5323.51
Igarapé-Açu,135343,3775.98,205158,5674.4,203096,5577.43,243056,6589.91
Igarapé-Miri,236980,4084.25,273397,4673.62,318660,5409.82,377978,6337.24
Inhangapi,45091,4480.44,60130,5884.73,66476,6396.26,90084,8424.56
Ipixuna do Pará,380997,7414.84,494194,9268.81,501944,9733.44,502129,9194.99
Irituia,104948,3344.19,114949,3657.4,130032,4129.04,161029,5090.39
Itaituba,890448,9147.53,921305,9429.56,982413,10034.04,1090706,11088.58
Itupiranga,239073,4664.11,270415,5267.04,307378,5973.49,388000,7503.25
Jacareacanga,141595,10085.09,74880,5264.72,102854,7173.05,109055,9556.16
Jacundá,260424,5069.08,299178,5732.37,345244,6514.89,380099,6990.2
Juruti,477510,10133.28,567582,11749.73,633843,12808.52,880636,17105.38
Limoeiro do Ajuru,193803,7743.44,221523,8707.66,282560,10932.44,392953,14804.93
Mãe do Rio,172327,6178.35,188801,6718.9,198931,7031.83,227930,7959.57
Magalhães Barata,34117,4204.21,33568,4119.81,44054,5386.2,59131,7176.14
Marabá,3403482,14578.31,3781071,15839.73,4222872,17336.48,5210748,20687.01
Maracanã,111741,3937.86,132316,4652.79,141885,4978.77,169962,5936.3
Marapanim,99394,3735.92,120914,4520.15,137106,5098.77,156119,5749.61
Marituba,727972,6724.85,825500,7447.54,997093,8796.35,1152026,9794.97
Medicilândia,256512,9347.41,261143,9398.7,270147,9570.52,324272,11186.8
Melgaço,69370,2798.4,84878,3382.13,104210,4106.95,125330,4846.49
Mocajuba,128248,4795,138706,5098,178319,6445,223986,7871.85
Moju,396493,5670.58,480271,6733.18,553249,7620.82,686514,9181.92
Mojuí dos Campos,,,,,,,212987,13982.87
Monte Alegre,390203,7035.88,369688,6644.76,421469,7552.66,549659,9789.64
Muaná,109024,3184.39,130204,3733.44,141556,3984.8,160915,4392.73
Nova Esperança do Piriá,98031,4862.9,122412,6043.26,109629,5387.16,166538,8112.71
Nova Ipixuna,66861,4565.42,80093,5390.2,102711,6817.85,107537,6972.98
Nova Timboteua,55695,4077.23,65342,4719.86,71298,5088.35,89625,6265.3
Novo Progresso,290130,11556.21,295109,11739.57,306314,12179.01,351264,13937.4
Novo Repartimento,346233,5573.26,409254,6434.41,510587,7842.4,590186,8723.85
Óbidos,358266,7273.84,321364,6485.39,371510,7465.58,515667,10278.2
Oeiras do Pará,153704,5375.19,174636,6020.9,212927,7241.94,285903,9502.21
Oriximiná,1631104,25905.76,1630947,25521.43,1431756,22034.48,1570917,23509.33
Ourém,89321,5481.15,101078,6141.58,116556,7021.03,159278,9450.47
Ourilândia do Norte,335703,12179.02,481851,17230.5,575531,20157.99,632890,21419.76
Pacajá,223770,5586.99,263948,6464.4,320485,7693.98,341350,7927.86
Palestina do Pará,35727,4771.93,40019,5357.36,42656,5714.17,46823,6272.29
Paragominas,1417093,14491.49,1677013,16861.18,1799926,17812.94,1820117,17539.07
Parauapebas,15046243,97739.69,21173256,132143.72,18960366,113984.24,20263415,114753.57
Pau D'Arco,42266,7010.46,50599,8504.04,48825,8319.12,53779,9364.31
Peixe-Boi,27828,3536.88,32639,4151.44,36398,4625.55,64709,8202.37
Piçarra,88685,6981.45,104591,8236.16,122188,9620.38,137253,10790.34
Placas,111199,4646.85,123519,4991.9,135455,5306.55,160617,5983.79
Ponta de Pedras,111049,4272.93,131539,4952.54,136229,5026.35,150924,5385.34
Portel,264194,5064.5,290228,5449.58,368944,6793.81,452823,8072.57
Porto de Moz,131213,3864.79,159908,4600.88,188720,5311.73,225602,6123.67
Prainha,140960,4816.67,159524,5437.63,192152,6552.48,228073,7772.93
Primavera,34543,3364.18,39143,3796.26,48220,4658.07,69605,6672.27
Quatipuru,42708,3441.14,50671,4044.93,59327,4693.99,70464,5488.74
Redenção,744236,9856.77,849699,11107.03,1001966,12942.79,1100883,13933.46
Rio Maria,199042,11231.33,209122,11806.13,251428,14182.54,272358,15323.39
Rondon do Pará,329709,7018.98,386799,8141.59,380674,7924.77,407410,8321.46
Rurópolis,149240,3724.67,171855,4163.95,188948,4454.54,225564,5086.11
Salinópolis,173421,4633.22,202736,5373.9,239427,6297.24,266316,6907.98
Salvaterra,76087,3769.66,89619,4356.37,100898,4816.57,114225,5290.18
Santa Bárbara do Pará,70719,4122.57,85615,4868.9,107618,5974.8,104520,5578.55
Santa Cruz do Arari,33621,4118.76,40710,4859.21,46810,5447.44,50792,5670.61
Santa Isabel do Pará,360193,6056.1,427365,7039.1,520859,8411.93,543225,8491.48
Santa Luzia do Pará,73614,3790.24,83520,4299.38,95153,4897.74,110686,5689.32
Santa Maria das Barreiras,124716,7251.75,144663,8179.51,159487,8787.14,193283,10208.24
Santa Maria do Pará,150284,6524.72,178196,7682.84,203161,8698.83,283115,11971.52
Santana do Araguaia,326866,5823.17,374874,6455.89,425340,7098.58,506611,8037.49
Santarém,2286090,7755.4,2586206,8706.59,3146866,10509.91,3332539,11552.78
Santarém Novo,24196,3937.53,27849,4494.71,31663,5067.72,38986,6148.23
Santo Antônio do Tauá,134659,5048.51,162474,5973.52,172432,6223.42,182411,6383.58
São Caetano de Odivelas,57327,3393.94,72258,4252.74,87820,5139.56,106723,6181.09
São Domingos do Araguaia,112546,4863.72,138533,5927.83,157804,6686.05,166450,6931.95
São Domingos do Capim,149599,5015.56,176335,5871.19,195380,6466.33,266856,8735.05
São Félix do Xingu,491728,5386.26,581063,6072.1,723098,7237.85,826003,7723.99
São Francisco do Pará,94643,6228.16,83211,5502.29,98815,6507.86,177112,11575.2
São Geraldo do Araguaia,165040,6450.91,195981,7706.97,218413,8640.77,248511,9918.23
São João da Ponta,22991,4366.69,25899,4831.97,29610,5432.1,29879,5327.91
São João de Pirabas,74081,3588.52,85448,4090.36,100274,4746.7,121266,5630.86
São João do Araguaia,54093,4113.83,72519,5483.48,83804,6304.33,91196,6796.07
São Miguel do Guamá,333989,6481.83,363883,6950.96,422152,7948.93,584884,10748.19
São Sebastião da Boa Vista,98016,4282.04,120511,5170.59,135726,5727.82,153345,6294.19
Sapucaia,53716,10643.23,62661,12181.42,65994,12603.9,74620,13831.27
Senador José Porfírio,57389,4415.25,67666,5269.95,76669,6065.09,93665,7595.9
Soure,85670,3725.59,96911,4170.93,117292,4999.44,135384,5673.87
Tailândia,420265,5299.76,490281,5947.55,535292,6263.07,610672,6743.88
Terra Alta,27282,2660.62,30550,2933.02,34999,3312.76,47282,4369.04
Terra Santa,71259,4203.59,76196,4448.11,191899,11089.23,273212,15511.05
Tomé-Açu,331168,5859.94,394388,6891.52,429023,7407.93,470690,7962.68
Tracuateua,95234,3467.34,115896,4166.39,136544,4847.68,180141,6260.32
Trairão,102952,6097.23,133155,7790.06,164510,9507.6,201754,11417.86
Tucumã,346704,10302.94,393975,11474.78,439640,12576.95,481995,13380.94
Tucuruí,2637781,27163.1,2768508,27987.62,2830922,28126.12,3618756,34923.67
Ulianópolis,543236,12532.85,801763,17742.04,858136,18266.38,1346759,26950.28
Uruará,273270,4563.56,323071,7218.17,346903,7756.01,361234,8075.7
Vigia,177469,3704.83,215907,4453.33,259412,5288.3,281252,5618.87
Viseu,236581,4173.91,281721,4929.68,331245,5754.18,428633,7349.3
Vitória do Xingu,92022,6826.55,111837,8219.08,133644,9700.49,315776,22440.04
Xinguara,494722,12193.37,579308,14134.98,792654,19154.56,783921,18627.08
   Amapá,8238703,12320.68,9415563,13759.23,11132397,15935.25,12762338,17363.82
Amapá,77429,9672.52,84446,10371.71,107602,13101.39,134197,15819.57
Calçoene,83067,9266.73,115770,12617.98,130309,13947.2,142228,14523.47
Cutias,39476,8518.71,44628,9287.78,51734,10536.47,58134,11237.99
Ferreira Gomes,90810,15732.82,108587,18176.6,119552,19467.87,174774,26785.31
Itaubal,32564,7631.51,36713,8399.33,43538,9733.59,48054,10176.6
Laranjal do Jari,345528,8680.51,395318,9684.43,467571,11221.35,540493,12331.02
Macapá,5471529,13750.57,6173778,15168.13,7423050,17863.02,8247833,18862.71
Mazagão,150670,8847.33,173624,9966.93,177125,9954.17,214720,11458.45
Oiapoque,192414,9420.06,217956,10332.1,244739,11298.62,287572,12510.73
Pedra Branca do Amapari,171497,15919.17,248121,21973.13,262845,22286.29,356136,27762.43
Porto Grande,211910,12594.92,219869,12744.54,244874,13850.33,267292,14287.6
Pracuúba,37160,9823,41224,10546.04,50236,12493.38,58414,13657.65
Santana,1091827,10788.48,1290138,12542.54,1497569,14343.57,1833141,16833.72
Serra do Navio,37213,8440.19,42396,9497.27,48998,10780.72,53484,11233.76
Tartarugalzinho,101599,8170.41,112807,8690.2,136055,10164.71,194972,13642.01
Vitória do Jari,104012,8357.73,110187,8659.1,126601,9728.78,150892,10994.77
   Tocantins,16406310,11858.96,18355576,13102.78,20675568,14583.94,23778286,16086.37
Abreulândia,37216,15590.92,18557,7709.5,20652,8526.7,26577,10605.16
Aguiarnópolis,65373,12674.14,64926,12211.07,80946,14806.28,83465,14341.12
Aliança do Tocantins,46880,8278.34,51506,9143.63,52629,9406.43,63458,11160.36
Almas,63001,8295.04,72435,9634.91,83312,11179.8,94010,12446.76
Alvorada,143780,17157.47,212902,25454.54,197764,23672.94,222256,25973.62
Ananás,61614,6240.67,68727,7001.51,75785,7758.49,85917,8633.12
Angico,25124,7927.94,20556,6429.9,22483,6984.61,28908,8676
Aparecida do Rio Negro,32198,7642.5,47482,11127.63,51731,11977.61,59217,13147.66
Aragominas,34868,5927.84,39775,6787.57,42548,7288.04,49687,8339.59
Araguacema,37173,5884.62,44911,7031.64,52124,8076.3,58637,8730.97
Araguaçu,97276,11071.75,101808,11643.14,112407,12917.37,121736,13727.53
Araguaína,1981088,13161.63,2120002,13824.51,2413512,15459.04,2878033,17539.04
Araguanã,37257,7406.96,40806,8008.97,44668,8661.69,50463,9381.4
Araguatins,193344,6172.41,200105,6304.89,229154,7131.41,286374,8542.35
Arapoema,54122,8027.66,62397,9283.92,71764,10711.02,78911,11529.93
Arraias,117080,11000.68,101267,9536.42,119637,11292.86,155030,14310.88
Augustinópolis,101837,6378.75,117665,7272.28,137844,8404.59,167910,9796.38
Aurora do Tocantins,21840,6337.89,24697,7111.12,27115,7749.32,31716,8749.32
Axixá do Tocantins,52287,5637.37,57397,6165.13,64550,6908.95,80205,8326.98
Babaçulândia,58660,5615.51,61401,5885.81,60818,5825.99,84765,7907.2
Bandeirantes do Tocantins,45337,14512.53,69023,21828.86,56345,17607.88,83739,25101.63
Barra do Ouro,25491,6182.53,29955,7192.17,38419,9134.32,44282,10130.94
Barrolândia,38202,7145.92,45767,8522.7,46484,8624.15,54118,9738.72
Bernardo Sayão,37890,8482.13,41515,9331.37,46240,10409.8,50622,11132.97
Bom Jesus do Tocantins,28814,7646.97,32463,8369.03,44477,11155.41,45062,10625.25
Brasilândia do Tocantins,18984,9188.58,21134,10184.83,26511,12708.78,31622,14680.38
Brejinho de Nazaré,48631,9373.72,63720,12232.72,67675,12934.82,76397,14147.55
Buriti do Tocantins,49470,5063.42,53570,5402.42,57925,5758.57,68127,6474.76
